event_id,sport,category,event
d1b85fd8-29fa-4551-8405-bfcfd2f9c423,Tennis,ITF,Siniakov Daniel - Isomura Kokoro
0310c7a3-a0ee-4aef-8024-e3874ab0348c,Tennis,ITF,Yamanaka Taiyo - Blaydes Billy
115c834c-8675-472d-a1af-17a96006ad8f,Tennis,ITF,Colak Ozan - Pavlenko Philipp
16fdb9ec-323d-4639-98f6-3fa6fef44026,Table Tennis,Czech Republic,Regner Milan - Kolar Milan
70c4be42-dad6-4693-bfba-a26de3617785,Table Tennis,Czech Republic,Smrcek Milan - Hasmanda Rostislav
459f8a28-c882-4ce6-b19a-9cab3bb77cf4,Tennis,ITF,Serban Raluca Georgiana - Kartal Sonay
94575ea6-f0f0-448b-8d4f-9ac99545a6a6,Table Tennis,ITTF,Lim Jong Hoon - Uda Yukia
ec4df1b9-9c5a-4f8a-a930-8a1ed7557222,Football,Costa Rica,Deportivo Saprissa U-20 - Guadalupe FC U-20
4e56a361-b7b8-4425-bc35-91b7b6c9f872,Tennis,ITF,Christie Freya - Sato Naho
3b9a1e3a-84fd-426f-ad04-713f221d8cd3,Tennis,ITF,Anshba Amina - Kozaki Funa
cf7f9b8a-7638-4723-a9cd-c6de1612d71a,Tennis,ITF,Sakellaridis Stefanos - Bejenaru Adrian Mateo
396893ff-b246-4e16-878a-f25075dd393e,Tennis,ITF,Schinas Stephanos - Abibsi Mohamed
8b9af5ff-095e-4a84-a3bb-331baffaeec3,Tennis,ITF,Parazinskaite Akvile - Sonmez Zeynep
7f9f655a-57e8-455d-8c2f-0a6cd55157c3,Tennis,ITF,Fita Boluda Angela - Timofeeva Maria
81c6ed2d-606b-4582-9f99-e53c37267052,Tennis,ITF,Khirin Nicole - Turati Anna
3e5b6d1e-6ab3-4a02-871d-8918f8632c1e,Tennis,ITF,Shnaider Diana - Jeanjean Leolia
80d0d9c6-48b1-469d-94f9-6b9e958b4afc,Tennis,ITF,Wang Yafan - Bouzas Maneiro Jessica
09436236-fbe9-4927-83e9-f7c8e2db252d,Tennis,ATP Challenger,Vavassori Andrea - Darderi Luciano
e6ccad24-ff6e-4570-ad51-2ba8e7b0530f,Tennis,ATP Challenger,Martin Andrej - Piros Zsombor
e584458d-84bd-4e39-be35-924aaf4aaa2c,Tennis,ATP Challenger,Giannessi Alessandro - Alvarez Varona Nicolas
0cac6ce8-6b4f-4bc5-b3cb-f66f72b48177,Tennis,ATP Challenger,Schnur Brayden - Gautier Alexis
87290d9f-feb0-4f63-b570-8e7f8b143ba4,Tennis,ATP Challenger,Gimeno Valero Carlos - Coppejans Kimmer
c722621e-100a-4c9f-b614-ab5568236957,Tennis,ATP Challenger,Haase Robin - Wessels Louis
4c8fb058-2a16-4548-a5d2-8f2fd37a6ff6,Tennis,ITF,Temin Marie - Tsitskishvili Sopiko
44d1bea7-2068-48c1-9da3-9a0060e29e54,Volleyball,Algeria,MB Bejaia - OMK El Milia
74fb010b-700e-4972-915c-f2d7885ee7e9,Volleyball,Algeria,NC Bejaia - JM Batna
f849fda1-dd0d-4eab-baee-782675c9ccca,Basketball,Europe,Latvijas Universitate - KK Parnu
a7328418-7ba5-49bf-97af-1da1f82e6056,Tennis,ITF,Glinka Daniil - Jebens Hendrik
6e1bf828-0b0a-4cb0-ab5d-4b4bc09d25c2,Tennis,ITF,Marti Yann - Prinoth Patric
886a979f-f5ce-4a3f-bdaf-e93987ed960f,Tennis,ITF,Frantzen Constantin - Aerne Laurin
48ee919d-c540-4aa1-bb75-3f4e27a4b5c7,Tennis,ITF,Bolardt Antonin - Calzi Raphael
7b7f3f8d-b988-4571-9f31-1dbcca30c54b,Tennis,ITF,Olivetti Albano - Moghini Gabriele
f6aadd87-308d-430b-82f7-e7096d116a4d,Tennis,ITF,Zantedeschi Aurora - Borisova Vasilisa
6c34084b-1c91-4b9f-9566-a21d35d18a75,Tennis,ITF,Carreras Amanda - Martinez Gomez Lucia
ef0a5e69-e93e-4542-9577-0698f93a9b1b,Football,Egypt,Al Hammam - Kafr El Sheikh
6e922e1f-c440-45a5-b7cd-a31be8154c88,Basketball,Cyberbasketball,Boston Celtics (panteraxball) - Phoenix Suns (IanJoe)
a404886f-11dd-4288-bacb-3df327b6314f,Basketball,Cyberbasketball,Cleveland Cavaliers (Andrik) - Boston Celtics (panteraxball)
c10a8448-3318-48cc-9b10-e3bbafbc6b53,Basketball,Cyberbasketball,Miami Heat (Dyjjx) - Cleveland Cavaliers (Andrik)
e7b9c1fe-70e5-4a15-bb4d-6a119f34864b,Basketball,Cyberbasketball,Toronto Raptors (ViTOR) - Miami Heat (Dyjjx)
048cd2a5-ed7e-491a-84d3-ebff3c673b08,Basketball,Cyberbasketball,Phoenix Suns (IanJoe) - Toronto Raptors (ViTOR)
e45af698-7de3-4b33-afb2-63898738baed,Basketball,Cyberbasketball,Phoenix Suns (IanJoe) - Boston Celtics (panteraxball)
f1aa63c3-9c31-4d08-aadd-ab4a2985546a,Basketball,Cyberbasketball,Boston Celtics (panteraxball) - Cleveland Cavaliers (Andrik)
a85aebfa-0c16-4411-89a2-b82644a2317a,Basketball,Cyberbasketball,Cleveland Cavaliers (Andrik) - Miami Heat (Dyjjx)
3f8660aa-e629-45c4-9d63-b9ef79d60e9b,Basketball,Cyberbasketball,Miami Heat (Dyjjx) - Toronto Raptors (ViTOR)
cc9a0d78-f4fc-4420-8409-ff74b03b8c7c,Basketball,Cyberbasketball,Toronto Raptors (ViTOR) - Phoenix Suns (IanJoe)
8398c456-8364-49b6-9cee-e6513a49529e,Basketball,Cyberbasketball,Boston Celtics (panteraxball) - Phoenix Suns (IanJoe)
f5d474fe-1ccc-4177-9202-b04392925d80,Tennis,ITF,Gray Alastair/Peniston Ryan - Frantzen Constantin/Jebens Hendrik
78dde54a-7eaf-4602-98a4-a685d6dc7902,Basketball,Cyberbasketball,Cleveland Cavaliers (Andrik) - Boston Celtics (panteraxball)
22860279-d5af-48c7-8707-1d01534f89d6,Basketball,Cyberbasketball,Miami Heat (Dyjjx) - Cleveland Cavaliers (Andrik)
958838ac-5a19-42d8-8a6b-a2a8f4b0e9e6,Tennis,ITF,Setkic Aldin/Virtanen Otto - Masur Daniel/Steinegger Yannik
e86bb4cf-5b8d-46f2-81c0-7953e2ac91fa,Basketball,Cyberbasketball,Toronto Raptors (ViTOR) - Cleveland Cavaliers (Andrik)
f511a75f-7327-47a1-aa34-261f4d34746e,Basketball,Cyberbasketball,Phoenix Suns (IanJoe) - Miami Heat (Dyjjx)
9ed0c02f-5733-48be-9208-939e2e1ef113,Basketball,Cyberbasketball,Boston Celtics (panteraxball) - Toronto Raptors (ViTOR)
f5555b72-bddb-429c-a9a0-e8d1a0d6df16,Tennis,ITF,Nouza Petr/Paulson Andrew - Kahoun Jacob/Simmen Janis Raffael
8f0e4e3a-ffe4-4b38-bc4d-5f317d9a9231,Basketball,Cyberbasketball,Cleveland Cavaliers (Andrik) - Phoenix Suns (IanJoe)
e5ea8a29-97ce-4b7f-b76b-62cc1dc9099e,Tennis,ITF,Moghini Gabriele/Taddia Leonardo - Gengel Marek/Poljak David
28159087-d1c4-4830-b8b5-8174b0eacd06,Basketball,Cyberbasketball,Miami Heat (Dyjjx) - Boston Celtics (panteraxball)
a307204b-cae7-437b-ae46-a0952a1310fd,Basketball,Cyberbasketball,Cleveland Cavaliers (Andrik) - Toronto Raptors (ViTOR)
20e2cf44-7988-44ab-9191-206314649135,Tennis,ITF,Rottoli Lorenzo - Brugnerotto Marco
6926de5c-3e0b-4b4e-b425-90adac242dee,Basketball,Cyberbasketball,Miami Heat (Dyjjx) - Phoenix Suns (IanJoe)
2203d65a-f819-46e9-b9a2-b3865a9285cf,Table Tennis,Russia,Alov Roman - Alekseev Aleksandr
143e2015-0d8b-4e2f-9808-05b8ff2cd7c2,Basketball,Cyberbasketball,Toronto Raptors (ViTOR) - Boston Celtics (panteraxball)
5c0d54bc-d8ea-49ca-8809-5c7629c52d0b,Tennis,ITF,Mayot Harold - Castelnuovo Luca
25eb525e-07d7-47eb-8134-7f0a800eb470,Tennis,ITF,Feldbausch Kilian - Sebesta Jan
